0,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни
2002,,,,,0,0,,,
2004,,,,,    ,    ,,,
2005,,,,,9,2,,,
2006,,,,,27,2,,,
2007,,,,,19,2,,,
2008,,,,,    ,    ,,,
2009,,,,,    ,    ,,,
2010,,,,,    ,    ,,,
2011,,,,,    ,    ,,,
2012,,,,,    ,    ,,,
2013,,,,,    ,    ,,,
2014,,,,,    ,    ,,,
2015,,,,,    ,    ,,,
2016,,,,,,    ,,,
2017,,,,,,    ,,,
2018,,,,,,    ,,,
2019,,,,,,    ,,,
