,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,333,15,,,,2002
1,,,,,410,20,,,,2004
2,,,,,492,31,,,,2005
3,,,,,474,35,,,,2006
4,,,,,561,38,,,,2007
5,,,,,552,37,,,,2008
6,,,,,494,41,,,,2009
7,"388529,1",89,"168709,99",508978,547,50,,"215601,99",,2010
8,"460323,1",96,198324,455635,491,62,362142,215714,,2011
9,"860796,9",105,196106,321641,426,59,"377209,4",210980,,2012
10,"617958,1",105,"207735,99","351782,99",446,65,"713210,1","264639,99",,2013
11,"642201,4",114,187179,320303,386,61,"642841,3","119433,99",,2014
12,"535659,3",115,"171111,99","298284,99",148,26,"100845,5","77255,99",,2015
13,"645164,4",117,"170843,99","341787,99",,57,"228739,1",36693,,2016
14,"595405,1",120,"177270,99",341073,,45,"496558,1",92967,,2017
15,"658860,1",123,188585,"396270,99",,41,"649780,2",147269,,2018
16,"689552,4",131,"196731,99",445321,,33,"385358,3","99625,99",,2019
