0,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни
2002,,,,,11,3,,,
2004,,,,,46,7,,,
2005,,,,,18,6,,,
2006,,,,,20,7,,,
2007,,,,,53,10,,,
2008,,,,,63,16,,,
2009,,,,,66,7,,,
2010,"724074,4",67,97174,298573,98,8,,1237,
2011,"826791,3",59,106999,418013,92,8,"11165,1",1216,
2012,942051,72,162944,"490666,99",60,18,"45649,2",5615,
2013,"905200,6",63,"144552,99",450729,62,25,"69404,7",6857,
2014,"871948,1",64,"114508,99",415274,64,27,"67535,1",5664,
2015,"908662,89",81,157285,302406,110,26,"269673,9",4316,
2016,"1005690,2",87,139229,"252037,99",,20,"74901,8",3529,
2017,"1001489,7",93,156157,"297168,99",,22,"114533,5",3986,
2018,"1116225,6",100,163501,328119,,15,"108719,49",5157,
2019,"1388261,4",103,208076,394690,,29,"440893,4",4515,
